,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
0,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21.0,Policy Holder,Sport - Liability,Sport,more than 69000,0,1,12,300,1.0,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,1994,Liability,55526.0694212824
1,Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,2,15,400,4.0,more than 30,more than 30,none,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,59294.4555709387
2,Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,47.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,3,7,400,3.0,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,71756.9413197145
3,Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,65.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,4,400,2.0,more than 30,more than 30,1,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,7584.15349342403
4,Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,36.0,Third Party,Sport - Collision,Sport,more than 69000,0,7,14,400,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,98545.3743385517
5,Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30.0,Policy Holder,Sport - Collision,Sport,more than 69000,0,9,7,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,Yes,External,3 to 5,no change,1 vehicle,1994,Collision,57166.7609536884
6,Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,71.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11,7,400,3.0,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,62624.2287152393
7,Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,52.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,13,400,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,103420.785274585
8,Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13,11,400,1.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,59747.5494391561
9,Jan,5,Friday,Honda,Rural,Wednesday,Feb,1,Male,Single,0.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,14,12,400,3.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,82211.8592620639
10,Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,61.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,15,3,400,1.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,59551.8920478471
11,Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,38.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,16,400,1.0,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,54340.8120323971
12,Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,41.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,17,15,400,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,52273.7919473849
13,Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,18,6,400,1.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,6659.00666681981
14,Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,21,3,400,1.0,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,8219.96931968592
15,Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,47.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,22,13,400,2.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,1298.64391192781
16,Mar,3,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,60.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,26,16,400,4.0,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,22262.9336731903
17,Mar,3,Thursday,Honda,Urban,Thursday,Jun,4,Male,Married,21.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,27,1,400,2.0,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,84964.7535817558
18,Jul,1,Saturday,Honda,Urban,Tuesday,Sep,4,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,29,9,400,1.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,64194.6963515959
19,May,3,Monday,Mazda,Urban,Wednesday,May,4,Female,Married,39.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,30,12,400,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,6856.39679898433
20,Mar,2,Friday,Dodge,Urban,Saturday,Mar,2,Male,Married,47.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,31,2,400,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision,54233.7898232182
21,Mar,2,Wednesday,Chevrolet,Urban,Wednesday,Mar,2,Male,Single,42.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,33,2,400,3.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,23868.7894652824
22,Oct,2,Tuesday,Honda,Urban,Thursday,Oct,3,Male,Married,30.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,37,11,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5227.57916347377
23,Sep,2,Friday,Mazda,Urban,Friday,Sep,3,Male,Single,27.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,38,4,400,2.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,3124.07994799738
24,Mar,4,Wednesday,Chevrolet,Urban,Wednesday,Apr,1,Female,Married,35.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,41,11,400,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,2714.29004930399
