,Make_0,Make_1,Make_2,Make_3,Make_4,MonthClaimed,WeekOfMonthClaimed,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,Age,PolicyType_0,PolicyType_1,PolicyType_2,PolicyType_3,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident_0,Days_Policy_Accident_1,Days_Policy_Accident_2,Days_Policy_Claim,PastNumberOfClaims_0,PastNumberOfClaims_1,PastNumberOfClaims_2,AgeOfVehicle,NumberOfSuppliments_0,NumberOfSuppliments_1,NumberOfSuppliments_2,AddressChange_Claim,NumberOfCars,Year,ClaimSize,AccidentArea_Urban,Sex_Male,Fault_Third Party,PoliceReportFiled_Yes,WitnessPresent_Yes,AgentType_Internal
0,0,0,0,0,1,0,1,0,0,1,21.0,0,0,0,1,5,0,300,1.0,0,0,1,2,0,0,1,2,0,0,1,2,2,1994,55526.0694212824,1,0,0,0,0,0
1,0,0,0,0,1,0,4,0,0,1,34.0,0,0,1,0,5,0,400,4.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,59294.4555709387,1,1,0,1,0,0
2,0,0,0,0,1,10,2,0,1,0,47.0,0,0,1,0,5,0,400,3.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,71756.9413197145,1,1,0,0,0,0
3,0,0,0,1,0,6,1,0,1,0,65.0,0,0,1,1,1,0,400,2.0,0,0,1,2,0,1,0,7,0,1,0,0,0,1994,7584.15349342403,0,1,1,1,0,0
4,0,0,0,0,1,1,3,0,1,0,36.0,0,0,1,0,5,0,400,1.0,0,0,1,2,0,1,0,6,0,1,1,0,0,1994,98545.3743385517,1,1,1,0,0,0
5,0,0,0,0,1,11,5,0,0,1,30.0,0,0,1,0,5,0,400,4.0,0,0,1,2,0,0,1,5,1,0,0,0,0,1994,57166.7609536884,1,1,0,0,1,0
6,0,0,0,1,1,2,3,0,0,1,71.0,0,1,0,0,5,0,400,3.0,0,0,1,2,0,0,1,7,0,0,1,0,0,1994,62624.2287152393,1,1,0,0,0,0
7,0,0,0,0,1,2,5,0,1,0,52.0,0,0,1,1,1,0,400,1.0,0,0,1,2,0,1,1,7,0,0,1,0,0,1994,103420.785274585,1,1,0,0,0,0
8,0,0,1,0,0,0,3,0,1,0,28.0,0,0,1,1,5,0,400,1.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,59747.5494391561,1,1,0,0,0,0
9,0,0,0,0,1,1,1,0,0,1,0.0,0,1,0,1,5,0,400,3.0,0,0,1,2,0,0,1,0,0,0,1,0,0,1994,82211.8592620639,0,1,1,0,0,0
10,0,0,1,0,0,1,1,0,1,0,61.0,0,0,1,1,5,0,400,1.0,0,0,1,2,0,0,1,7,0,0,1,0,0,1994,59551.8920478471,1,1,0,0,0,0
11,0,0,1,0,0,7,5,0,0,1,38.0,0,0,1,1,5,0,400,1.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,54340.8120323971,1,1,0,0,0,0
12,0,0,1,0,0,4,1,0,1,0,41.0,0,1,0,0,5,0,400,4.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,52273.7919473849,1,1,0,0,0,0
13,0,0,1,0,1,7,1,0,1,0,28.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,0,1,6,0,1,1,0,0,1994,6659.00666681981,1,0,1,0,0,0
14,0,0,0,1,1,4,1,0,1,0,40.0,0,0,1,1,1,0,400,1.0,0,0,1,2,0,1,0,7,0,1,0,0,0,1994,8219.96931968592,1,1,0,0,0,0
15,0,0,1,0,1,0,2,0,1,0,47.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,0,7,0,0,1,4,1,1994,1298.64391192781,1,1,0,0,0,0
16,0,0,1,1,0,3,1,0,1,0,60.0,0,0,1,1,1,0,400,4.0,0,0,1,2,1,0,0,7,0,0,1,0,0,1994,22262.9336731903,1,1,0,0,0,0
17,0,0,0,0,1,5,4,0,1,0,21.0,0,1,0,1,2,0,400,2.0,0,0,1,2,1,0,0,4,0,1,0,0,0,1994,84964.7535817558,1,1,0,0,0,0
18,0,0,0,0,1,8,4,0,0,1,0.0,0,1,0,0,5,1,400,1.0,0,0,1,2,0,0,1,0,0,0,1,0,0,1994,64194.6963515959,1,1,0,0,0,0
19,0,0,0,1,1,4,4,0,1,0,39.0,0,1,0,1,1,0,400,3.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,6856.39679898433,1,0,0,0,0,0
20,0,0,1,1,1,2,2,0,1,0,47.0,0,1,0,1,2,0,400,1.0,0,0,1,2,0,1,1,7,0,0,1,0,0,1994,54233.7898232182,1,1,0,0,0,1
21,0,0,1,0,1,2,2,0,0,1,42.0,0,1,0,1,1,0,400,3.0,0,0,1,2,1,0,0,6,1,0,0,0,0,1994,23868.7894652824,1,1,0,0,0,0
22,0,0,0,0,1,9,3,0,1,0,30.0,0,1,0,1,1,0,400,4.0,0,0,1,2,0,0,1,5,0,1,0,0,0,1994,5227.57916347377,1,1,1,0,0,0
