,Make_0,Make_1,Make_2,Make_3,Make_4,MonthClaimed,WeekOfMonthClaimed,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,Age,PolicyType_0,PolicyType_1,PolicyType_2,PolicyType_3,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident_0,Days_Policy_Accident_1,Days_Policy_Accident_2,Days_Policy_Claim,PastNumberOfClaims_0,PastNumberOfClaims_1,PastNumberOfClaims_2,AgeOfVehicle,NumberOfSuppliments_0,NumberOfSuppliments_1,NumberOfSuppliments_2,AddressChange_Claim,NumberOfCars,Year,ClaimSize,AccidentArea_Urban,Sex_Male,Fault_Third Party,PoliceReportFiled_Yes,WitnessPresent_Yes,AgentType_Internal,FraudFound_P
0,0.0,0.0,0.0,-1.0,1.0,-0.8333333333333334,-1.0,0.0,-1.0,1.0,-0.9444444444444444,0.0,-1.0,0.0,0.0,4.0,-100.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,2.0,2.0,-0.5,1.1208960222974003,0.0,-1.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,-1.0,1.0,-0.8333333333333334,0.5,0.0,-1.0,1.0,-0.2222222222222222,0.0,-1.0,1.0,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.2100187627853054,0.0,0.0,0.0,1.0,0.0,0.0,0
2,0.0,0.0,0.0,-1.0,1.0,0.8333333333333334,-0.5,0.0,0.0,0.0,0.5,0.0,-1.0,1.0,-1.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.5047579002072131,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-1.0,0.0,0.0,0.0,1.5,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,1.0,-1.0,0.0,0.0,-0.5,-0.012935480644830143,-1.0,0.0,1.0,1.0,0.0,0.0,0
4,0.0,0.0,0.0,-1.0,1.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.1111111111111111,0.0,-1.0,1.0,-1.0,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,2.138307241808845,0.0,0.0,1.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-0.4444444444444444,0.0,-1.0,1.0,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,1.0,0.0,-1.0,0.0,0.0,-0.5,1.1596985546962255,0.0,0.0,0.0,0.0,1.0,0.0,0
6,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,-1.0,1.0,1.8333333333333333,0.0,0.0,0.0,-1.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.2887682582026379,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,-1.0,1.0,-0.5,1.0,0.0,0.0,0.0,0.7777777777777778,0.0,-1.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,2.2536112383654663,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,0.0,1.0,-1.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,-0.5555555555555556,0.0,-1.0,1.0,0.0,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.2207344818305745,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,-1.0,1.0,-0.6666666666666666,-1.0,0.0,-1.0,1.0,-2.111111111111111,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.752017841623602,-1.0,0.0,1.0,0.0,0.0,0.0,0
10,0.0,0.0,1.0,-1.0,0.0,-0.6666666666666666,-1.0,0.0,0.0,0.0,1.2777777777777777,0.0,-1.0,1.0,0.0,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.2161071633399354,0.0,0.0,0.0,0.0,0.0,0.0,0
11,0.0,0.0,1.0,-1.0,0.0,0.3333333333333333,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.092864556708177,0.0,0.0,0.0,0.0,0.0,0.0,0
12,0.0,0.0,1.0,-1.0,0.0,-0.16666666666666666,-1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0439793078764903,0.0,0.0,0.0,0.0,0.0,0.0,0
13,0.0,0.0,1.0,-1.0,1.0,0.3333333333333333,-1.0,0.0,0.0,0.0,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.03481530327080413,0.0,-1.0,1.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,1.0,-0.16666666666666666,-1.0,0.0,0.0,0.0,0.1111111111111111,0.0,-1.0,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,1.0,-1.0,0.0,0.0,-0.5,0.0021016324936972692,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.0,0.0,1.0,-1.0,1.0,-0.8333333333333334,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,4.0,1.0,-0.5,-0.16158846285500542,0.0,0.0,0.0,0.0,0.0,0.0,0
16,0.0,0.0,1.0,0.0,0.0,-0.3333333333333333,-1.0,0.0,0.0,0.0,1.2222222222222223,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.33421926005488073,0.0,0.0,0.0,0.0,0.0,0.0,0
17,0.0,0.0,0.0,-1.0,1.0,0.0,0.5,0.0,0.0,0.0,-0.9444444444444444,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-0.5,1.817124090373324,0.0,0.0,0.0,0.0,0.0,0.0,0
18,0.0,0.0,0.0,-1.0,1.0,0.5,0.5,0.0,-1.0,1.0,-2.111111111111111,0.0,0.0,0.0,-1.0,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.3259099878559084,0.0,0.0,0.0,0.0,0.0,0.0,1
19,0.0,0.0,0.0,0.0,1.0,-0.16666666666666666,0.5,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.030147005271307346,0.0,-1.0,0.0,0.0,0.0,0.0,0
20,0.0,0.0,1.0,0.0,1.0,-0.5,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.5,1.090333469872513,0.0,0.0,0.0,0.0,0.0,1.0,0
